0	0	-0.551	0.5737
0	1	-0.5661	0.5782
0	2	-0.5707	0.545
0	3	-0.5374	0.5495
1	0	-0.5601	0.5586
1	1	-0.5465	0.5691
1	2	-0.5616	0.5676
1	3	-0.5465	0.5586
2	0	-0.5601	0.5389
2	1	-0.548	0.5541
2	2	-0.5401	0.5435
2	3	-0.5601	0.5389
3	0	-0.5329	0.5631
3	1	-0.5465	0.545
3	2	-0.5616	0.5359
3	3	-0.5465	0.545
4	0	0	0
4	1	0	0
4	2	0	0
4	3	0	0
5	0	0	0
5	1	0	0
5	2	0	0
5	3	0	0
6	0	0	0
6	1	0	0
6	2	0	0
6	3	0	0
7	0	-0.5495	0.557
7	1	-0.5465	0.5646
7	2	-0.551	0.5631
7	3	-0.5435	0.554
8	0	-0.5857	0.5646
8	1	-0.5918	0.5571
8	2	-0.5646	0.5797
8	3	-0.6008	0.5586
9	0	-0.5103	0.5722
9	1	-0.542	0.5495
9	2	-0.5556	0.5525
9	3	-0.542	0.5767
10	0	-0.5359	0.5691
10	1	-0.5707	0.5676
10	2	-0.5707	0.551
10	3	-0.56	0.6069
11	0	0	0
11	1	0	0
11	2	0	0
11	3	0	0
