0	0	-0.98278
0	1	-0.954432
0	2	-0.894388
0	3	-0.9622
1	0	-0.94825
1	1	-0.955186
1	2	-1.03243
1	3	-0.95345
2	0	-0.950332
2	1	-0.940019
2	2	-0.892377
2	3	-0.955648
3	0	-0.94982
3	1	-0.973659
3	2	-0.925196
3	3	-0.983561
4	0	-0.970629
4	1	-0.911933
4	2	-0.939123
4	3	-0.948816
5	0	-0.903438
5	1	-0.944488
5	2	-0.980372
5	3	-1.06832
6	0	-1.02594
6	1	-0.948478
6	2	-0.93006
6	3	-0.944468
7	0	-0.940875
7	1	-1.00942
7	2	-0.972657
7	3	-0.979291
8	0	-0.882311
8	1	-0.851685
8	2	-0.920459
8	3	-0.909943
9	0	-1.07683
9	1	-1.00582
9	2	-0.955737
9	3	-0.987595
10	0	-0.958362
10	1	-0.972587
10	2	-0.965463
10	3	-0.999439
11	0	0
11	1	0
11	2	0
11	3	0
