0	0	-0.5795		0.5526
0	1	-0.5851		0.5706
0	2	-0.5462		0.5803
0	3	-0.5513		0.5609
1	0	-0.5609		0.5658
1	1	-0.5637		0.576
1	2	-0.5515		0.5842
1	3	-0.5678		0.5392
2	0	-0.5568		0.5639
2	1	-0.546		0.5801
2	2	-0.5675		0.5639
2	3	0		0
3	0	-0.5406		0.5837
3	1	-0.5909		0.5693
3	2	-0.5568		0.5945
3	3	-0.546		0.5819
4	0	-0.5801		0.6088
4	1	-0.6017		0.6052
4	2	-0.5729		0.6142
4	3	-0.5729		0.6124
5	0	0		0
5	1	0		0
5	2	0		0
5	3	0		0
6	0	-0.5476		0.5835
6	1	-0.5835		0.5526
6	2	-0.57		0.5521
6	3	-0.5341		0.561
7	0	-0.5799		0.5476
7	1	-0.57		0.5566
7	2	-0.5655		0.5745
7	3	-0.5835		0.5655
8	0	-0.588		0.5655
8	1	-0.561		0.5745
8	2	-0.5476		0.6014
8	3	-0.588		0.5566
9	0	-0.5386		0.588
9	1	-0.5566		0.588
9	2	-0.6194		0.5476
9	3	-0.5476		0.561
10	0	-0.5474		0.5842
10	1	-0.5719		0.5842
10	2	-0.5638		0.576
10	3	-0.5596		0.5756
11	0	-0.5637		0.5678
11	1	-0.5392		0.576
11	2	-0.5678		0.5678
11	3	-0.5474		0.5842
