0              0              0       -437.734        4.74474
0              0              1       -280.559        4.87353
0              0              2       -405.905        5.23883
0              0              3       -327.912        4.83713
1              0              0       -383.708        4.85171
1              0              1       -438.911         4.9605
1              0              2       -361.954        4.84872
1              0              3       -503.118        5.04208
2              0              0       -447.586        4.91666
2              0              1       -364.503         4.9605
2              0              2       -398.263        4.85171
2              0              3       -227.506        5.09155
3              0              0       -462.922        4.89252
3              0              1       -347.396        4.97383
3              0              2       -386.258        4.78558
3              0              3       -392.483        5.00831
4              0              0        4904.94        1.42238
4              0              1        -661.09        4.45689
4              0              2       -456.651          4.652
4              0              3        4855.57        1.54204
5              0              0              0              0
5              0              1              0              0
5              0              2              0              0
5              0              3              0              0
6              0              0              0              0
6              0              1              0              0
6              0              2              0              0
6              0              3              0              0
7              0              0       -320.868        4.93783
7              0              1       -437.489        4.95111
7              0              2       -324.421        4.87353
7              0              3       -472.047        4.80684
8              0              0       -398.944        4.83006
8              0              1       -265.939        4.87353
8              0              2       -461.158        4.96358
8              0              3       -364.503         4.9605
9              0              0       -507.212        4.87054
9              0              1       -540.257        4.59083
9              0              2       -543.814        4.85171
9              0              3       -371.813        4.96358
10              0              0       -518.416        5.17657
10              0              1       -6777.28        10.2014
10              0              2       -491.836        4.91666
10              0              3       -558.369        4.85171
11              0              0              0              0
11              0              1              0              0
11              0              2              0              0
11              0              3              0              0
